date, boolean
1-1,False
1-2,False
1-3,False
1-4,False
1-5,False
1-6,False
1-7,False
1-8,False
1-9,False
1-10,False
1-11,False
1-12,False
1-13,False
1-14,False
1-15,False
1-16,False
1-17,False
1-18,False
1-19,False
1-20,False
1-21,False
1-22,False
1-23,False
1-24,False
1-25,False
1-26,False
1-27,False
1-28,False
1-29,False
1-30,False
1-31,False
2-1,False
2-2,False
2-3,False
2-4,False
2-5,False
2-6,False
2-7,False
2-8,False
2-9,False
2-10,False
2-11,False
2-12,False
2-13,False
2-14,False
2-15,False
2-16,False
2-17,False
2-18,False
2-19,False
2-20,False
2-21,False
2-22,False
2-23,False
2-24,False
2-25,False
2-26,False
2-27,False
2-28,False
3-1,False
3-2,False
3-3,False
3-4,False
3-5,False
3-6,False
3-7,False
3-8,False
3-9,False
3-10,False
3-11,False
3-12,False
3-13,False
3-14,False
3-15,False
3-16,False
3-17,False
3-18,False
3-19,False
3-20,True
3-21,True
3-22,False
3-23,False
3-24,False
3-25,False
3-26,False
3-27,False
3-28,False
3-29,False
3-30,True
3-31,False
4-1,False
4-2,False
4-3,False
4-4,False
4-5,False
4-6,False
4-7,False
4-8,False
4-9,False
4-10,False
4-11,False
4-12,True
4-13,False
4-14,False
4-15,False
4-16,False
4-17,False
4-18,False
4-19,False
4-20,False
4-21,False
4-22,False
4-23,False
4-24,True
4-25,False
4-26,False
4-27,False
4-28,True
4-29,False
4-30,False
5-1,False
5-2,False
5-3,True
5-4,False
5-5,False
5-6,False
5-7,False
5-8,False
5-9,False
5-10,False
5-11,False
5-12,False
5-13,False
5-14,False
5-15,False
5-16,False
5-17,False
5-18,False
5-19,False
5-20,False
5-21,True
5-22,False
5-23,False
5-24,False
5-25,False
5-26,False
5-27,False
5-28,False
5-29,False
5-30,False
5-31,False
6-1,False
6-2,False
6-3,True
6-4,False
6-5,False
6-6,False
6-7,False
6-8,False
6-9,False
6-10,False
6-11,False
6-12,False
6-13,False
6-14,False
6-15,False
6-16,True
6-17,True
6-18,True
6-19,False
6-20,False
6-21,True
6-22,False
6-23,False
6-24,False
6-25,False
6-26,True
6-27,True
6-28,False
6-29,True
6-30,False
7-1,False
7-2,True
7-3,True
7-4,False
7-5,True
7-6,True
7-7,True
7-8,False
7-9,True
7-10,False
7-11,True
7-12,False
7-13,False
7-14,False
7-15,False
7-16,False
7-17,False
7-18,False
7-19,True
7-20,True
7-21,False
7-22,False
7-23,False
7-24,False
7-25,False
7-26,False
7-27,False
7-28,False
7-29,True
7-30,False
7-31,False
8-1,False
8-2,False
8-3,False
8-4,False
8-5,False
8-6,True
8-7,False
8-8,False
8-9,True
8-10,False
8-11,True
8-12,False
8-13,True
8-14,False
8-15,False
8-16,False
8-17,False
8-18,False
8-19,False
8-20,True
8-21,False
8-22,False
8-23,False
8-24,False
8-25,False
8-26,True
8-27,True
8-28,False
8-29,True
8-30,False
8-31,False
9-1,False
9-2,False
9-3,False
9-4,False
9-5,False
9-6,False
9-7,False
9-8,False
9-9,False
9-10,True
9-11,True
9-12,True
9-13,False
9-14,False
9-15,False
9-16,False
9-17,False
9-18,True
9-19,True
9-20,True
9-21,False
9-22,False
9-23,True
9-24,False
9-25,False
9-26,False
9-27,False
9-28,True
9-29,True
9-30,False
10-1,True
10-2,True
10-3,True
10-4,True
10-5,True
10-6,True
10-7,False
10-8,False
10-9,False
10-10,True
10-11,False
10-12,False
10-13,False
10-14,False
10-15,False
10-16,False
10-17,False
10-18,False
10-19,True
10-20,False
10-21,False
10-22,False
10-23,False
10-24,False
10-25,False
10-26,False
10-27,False
10-28,False
10-29,False
10-30,False
10-31,False
11-1,False
11-2,False
11-3,False
11-4,False
11-5,False
11-6,False
11-7,False
11-8,False
11-9,False
11-10,False
11-11,False
11-12,False
11-13,False
11-14,False
11-15,False
11-16,False
11-17,False
11-18,False
11-19,False
11-20,False
11-21,False
11-22,False
11-23,False
11-24,False
11-25,False
11-26,False
11-27,False
11-28,False
11-29,False
11-30,False
12-1,False
12-2,False
12-3,False
12-4,False
12-5,False
12-6,False
12-7,False
12-8,False
12-9,False
12-10,False
12-11,False
12-12,False
12-13,False
12-14,False
12-15,False
12-16,False
12-17,False
12-18,False
12-19,False
12-20,False
12-21,False
12-22,False
12-23,False
12-24,False
12-25,False
12-26,False
12-27,False
12-28,False
12-29,False
12-30,False
12-31,False
2-29,False
